sample_idx,true_label,pred_label,prob_Center,prob_Donut,prob_Edge-Loc,prob_Edge-Ring,prob_Loc,prob_Near-full,prob_Random,prob_Scratch
0,Loc,Loc,1.843994582069734e-05,0.0006274009187627965,0.13385320378376844,4.475099648924619e-08,0.7474164775610266,1.4903138726255138e-26,2.4114594649960353e-08,0.11808440892503036
1,Edge-Loc,Edge-Loc,0.0001468414299352367,0.00034515863602727856,0.8919328929209247,0.0208736104839591,0.040896709753169815,1.6871018153116563e-21,4.482835675052625e-06,0.04580030394030867
2,Edge-Loc,Edge-Loc,0.00023940446242305376,0.0006027643259770848,0.8540041645741603,0.002363638585254851,0.07725580717873909,1.3297440497254792e-21,3.0902443626106462e-06,0.06553113062908289
3,Edge-Loc,Edge-Loc,0.0010724007877167213,4.6565285343957513e-05,0.9429464563548681,0.004922693805245911,0.03446741549257165,3.374628424705631e-20,5.030469127611895e-06,0.01653943780512606
4,Edge-Loc,Edge-Loc,1.7311097365413836e-06,6.258530568001006e-05,0.9261298893276168,0.0009245339303205551,0.05351499679521145,3.2462528502772644e-22,5.877772369341282e-07,0.01936567575419769
5,Loc,Center,0.999574513788399,2.061872919345692e-07,0.0001398686401855406,2.2726421300517214e-08,0.0002725998166978813,2.5375788438137854e-20,3.7539322496699994e-07,1.2413447779401289e-05
6,Edge-Loc,Edge-Loc,2.659889741419632e-05,0.00011069990415014656,0.916479198361834,0.00041899124287886043,0.06608927539354874,4.3334618970872585e-20,2.7669750421956585e-06,0.01687246922513209
7,Edge-Loc,Edge-Loc,0.007146854226282407,0.00012211953392856796,0.8957115127509268,0.001264068549373234,0.07831845101286691,9.756395345185969e-19,1.671750976826633e-05,0.017420276416853873
8,Edge-Loc,Edge-Loc,9.784186884935441e-06,0.00035626003379538636,0.903694470809753,0.02614999450659782,0.03646235953287113,1.061422357884564e-21,3.523842688675223e-06,0.033323607087409036
9,Center,Center,0.9999802976992095,2.413109323132327e-09,9.55588199748605e-06,1.7249951528100518e-08,8.810507818935081e-06,7.803763937840499e-23,4.358984285539742e-09,1.3118889289502532e-06
10,Loc,Edge-Loc,1.7777192594036638e-05,0.006674695719221851,0.45055936004977476,0.000875282040292332,0.25029240049225815,1.474035286481324e-23,2.00464546961946e-06,0.29157847986038926
11,Edge-Loc,Edge-Loc,0.0029496173978240357,0.0007265861639065026,0.8086773043280793,0.004590284667727581,0.11534037865797835,2.658326253827839e-21,9.241775797122883e-06,0.06770658700868709
12,Center,Center,0.9999819793059553,7.65005542915136e-09,3.1878351316124724e-06,7.167830262980567e-08,1.2609518701122534e-05,1.8570938384345767e-24,7.0426726752252595e-09,2.136969181092727e-06
13,Loc,Scratch,6.47965266254299e-05,0.03163383933824969,0.1141244775962408,0.00027828819062792535,0.3928781466520665,9.084762227593461e-26,1.3876850763305304e-06,0.46101906401111326
14,Edge-Ring,Edge-Ring,1.1872181502692563e-05,2.2021010599917633e-05,0.25777443873771233,0.729727751588106,0.008698754844838579,2.6239150571749075e-19,1.6478367021429755e-05,0.003748683270219119
15,Scratch,Loc,0.00011722262694583816,0.02932151668863047,0.03364543923189727,0.00011427118458106422,0.5434728345105565,1.9357514735057034e-26,1.4447367427241524e-06,0.3933272710206461
16,Edge-Ring,Edge-Loc,0.0007549719414088783,0.00043245676154272385,0.5662143442647991,0.39980612393986004,0.009925411446435191,1.0027016147311168e-12,0.02094157081436994,0.00192512083058139
17,Edge-Loc,Edge-Loc,0.0005536753741798379,0.012573278816544084,0.6660707936116811,0.00038008908843373544,0.24658414554317654,8.772359856189563e-19,0.00024052782740594832,0.0735974897385788
18,Edge-Loc,Edge-Loc,5.768817333870725e-05,0.06650050843961301,0.6273679762259183,0.00010725197593060775,0.22250259670505868,5.725556089464652e-18,0.000675647559384423,0.08278833092075619
19,Edge-Loc,Edge-Loc,0.007317562740529285,0.04074930412595911,0.7171414859718677,0.0006118071045166121,0.18030530629986585,3.283546770447788e-14,0.020583588724299225,0.0332909450329294
20,Edge-Loc,Random,0.012668101684563785,0.0009676798597278479,0.36239381748801086,0.0006461351577818144,0.028425769010121886,6.9420190741774095e-09,0.5941388922255929,0.0007595976321818557
21,Edge-Loc,Edge-Loc,0.00018043289781672112,0.02255214932210655,0.7283793070159121,0.0003149169874238729,0.1775721118509126,1.7040684274545934e-18,0.00027931594914354054,0.07072176597668453
22,Edge-Loc,Edge-Loc,0.0010344789623490534,0.013017804944059354,0.6550174239210541,0.002814897391753279,0.2722292529196024,1.838882199865793e-16,0.0025359200899255645,0.05335022177125596
23,Edge-Loc,Edge-Loc,0.003679538913220108,0.05934373685082799,0.6095777904072337,0.002624697477309033,0.17882420807129001,1.1742677807218651e-12,0.12277956196128079,0.023170466317664003
24,Scratch,Edge-Loc,0.0017593751572717985,0.03392666555539928,0.6063461440509721,0.0019475773484252778,0.26197493760327245,7.203211882948237e-18,0.0015731632333018288,0.09247213705135729
25,Random,Random,0.0012899023108110745,0.0010433284990599987,0.008272482973333928,0.001792805844451451,0.0007519346290328955,3.167708677713987e-08,0.9868045672532029,4.494681302091751e-05
26,Center,Center,0.5034604673394333,0.06842000464451713,0.03852994201996752,1.0971316688414318e-05,0.340704939638064,1.558055163065808e-17,0.004778891514039663,0.044094783527290085
27,Loc,Loc,0.0413799795815655,0.13829473534989,0.01908808119528522,1.8131446058329004e-06,0.6358345773347657,3.883722539304854e-22,9.132526339349244e-05,0.1653094881304943
28,Edge-Loc,Edge-Loc,0.00023981042316419926,0.002945767051900424,0.9414009105881811,0.0052042683778463356,0.03461047992126979,4.4709596324134217e-13,0.009539205285615983,0.006059558351575142
29,Loc,Loc,0.03270197091398657,0.0872804841332416,0.1422891718292109,0.009546349599882717,0.5571004206786294,3.3434926969054703e-18,0.00493223044662433,0.16614937239842453
30,Center,Center,0.8675866241892852,0.002167072114305797,0.04913694086063284,0.00010718432201470559,0.0672571551756688,1.3091361841045453e-17,0.000622041980881657,0.013122981357211056
31,Scratch,Center,0.5232899044029554,0.026698172912935123,0.06056307886075016,6.558025938753098e-05,0.3365332089756011,4.940049075578668e-18,0.002585563060401642,0.05026449152796902
32,Edge-Loc,Edge-Loc,0.001159674626869155,0.021743885429101956,0.6035846583840241,0.00017031100416370573,0.27153745625320985,4.405346615839898e-19,0.00021803116937278176,0.10158598313325844
33,Edge-Loc,Edge-Loc,0.00015179223420617256,0.008538703561638866,0.8944551795370514,0.01734285862113699,0.055371907891913416,9.281019217037795e-16,0.0035999439804718755,0.02053961417358037
34,Loc,Loc,0.0021483683611285324,0.1556324771981589,0.25256171512956527,3.0124277605173063e-05,0.4719305452727935,5.947894889394881e-18,0.001975750032815382,0.11572101972793317
35,Edge-Loc,Edge-Loc,0.001020093063265555,0.038120590466887344,0.43328273863195327,5.6982828774947444e-05,0.3875447449620616,4.498204267619446e-19,0.00016469721625982808,0.1398101528307974
36,Center,Center,0.7269331252132499,0.01569622008720296,0.03875594630786353,2.3345015861197453e-06,0.18938949915016054,7.361683627008888e-19,0.0003428371120377837,0.02888003762789931
37,Near-full,Near-full,2.4347776429588127e-17,7.45580599360972e-20,1.0413786237058876e-17,6.80912583833791e-16,1.6742306167808927e-21,0.9999999147746536,8.522534581844024e-08,2.9627575623738073e-24
38,Edge-Loc,Edge-Loc,0.0005955827088937727,0.025114318703435595,0.6987056823190532,0.02579069082471733,0.1078333877511648,6.641175005090387e-13,0.12876487634935174,0.013195461342719376
39,Random,Random,1.718218910997445e-05,0.0001212388829616883,0.0010748317176135684,4.7319784845601506e-06,2.571089664662116e-05,3.2517273170218014e-05,0.9987231119859348,6.750760784419305e-07
40,Edge-Loc,Loc,0.05181785859179627,0.06642769162455246,0.18543194631357757,0.0018710337771026123,0.5842363132602983,1.0190216286683064e-17,0.006290771534642463,0.10392438489803027
41,Loc,Edge-Loc,0.0009863696984601016,0.01697810777850424,0.681758792393775,0.00048302403539476977,0.23026010051043672,1.1865309641238874e-17,0.0006483920037405536,0.06888521357968873
42,Edge-Loc,Edge-Loc,0.117223131846126,0.012756200938597903,0.5306887020551089,0.0034473895776319765,0.08504693880816132,2.150156919578716e-11,0.24264924383369452,0.00818839291917798
43,Random,Random,0.0004287974128693292,0.0035130087936529253,0.009270358805024592,0.0007680289901239939,0.0012477851441542434,1.3521986041063189e-08,0.9846925914981751,7.941583401388675e-05
44,Edge-Loc,Edge-Loc,0.0014509584951372027,0.0032143656869216275,0.7618257459205696,0.0007623369394018383,0.19896565625963006,1.874068849549661e-17,0.0005435687296702546,0.033237367968669385
45,Loc,Center,0.7616297626560274,0.0035234603593788374,0.07637705136031668,2.188449480800385e-05,0.1366595846236542,6.505500182680605e-18,0.0003006307453858264,0.02148762576042896
